,Date,Action,Ticker,Quantity,Price,Cash
50,2015-05-04 00:00:00-04:00,BUY,MSFT,6833,41.8016471862793,460366.5811510086
51,2015-06-17 00:00:00-04:00,SELL,GOOGL,10220,27.231285095214844,738670.3148241043
52,2015-07-06 00:00:00-04:00,SELL,AAPL,13926,28.28788948059082,1132607.463730812
53,2015-07-15 00:00:00-04:00,BUY,GOOGL,9660,29.09253692626953,851573.5570230484
54,2015-08-28 00:00:00-04:00,SELL,MSFT,6833,38.56692886352539,1115101.3819475174
55,2015-10-15 00:00:00-04:00,BUY,MSFT,7020,41.270912170410156,825379.5785112381
56,2015-11-11 00:00:00-05:00,BUY,AAPL,11592,26.29759979248047,520537.8017168045
57,2015-12-24 00:00:00-05:00,SELL,AAPL,11592,24.467573165893555,804165.9098558426
58,2016-02-11 00:00:00-05:00,SELL,GOOGL,9660,35.1904296875,1144105.4606370926
59,2016-02-11 00:00:00-05:00,SELL,MSFT,7020,43.91778564453125,1452408.315861702
60,2016-03-28 00:00:00-04:00,BUY,MSFT,6094,47.660301208496094,1161966.4402971268
61,2016-04-01 00:00:00-04:00,BUY,AAPL,11685,25.046667098999023,869296.1352453232
62,2016-04-01 00:00:00-04:00,BUY,GOOGL,7633,38.34450149536133,576612.5553312302
63,2016-05-06 00:00:00-04:00,SELL,MSFT,6094,44.85623550415039,849966.4544935226
64,2016-05-09 00:00:00-04:00,SELL,GOOGL,7633,36.3248176574707,1127233.7876729965
65,2016-05-10 00:00:00-04:00,SELL,AAPL,11685,21.402904510498047,1377326.7268781662
66,2016-07-22 00:00:00-04:00,BUY,MSFT,5432,50.709774017333984,1101871.234416008
67,2016-07-29 00:00:00-04:00,BUY,GOOGL,6989,39.4240837097168,826336.3133687973
68,2016-08-04 00:00:00-04:00,BUY,AAPL,11345,24.386646270751953,549669.8114271164
69,2016-11-23 00:00:00-05:00,SELL,GOOGL,6989,38.8093147277832,820908.1120595932
70,2016-12-29 00:00:00-05:00,BUY,GOOGL,7189,39.999000549316406,533355.2971105576
71,2017-07-12 00:00:00-04:00,SELL,AAPL,11345,34.029052734375,919414.9003820419
72,2017-07-14 00:00:00-04:00,BUY,AAPL,9382,34.79956817626953,592925.3517522812
73,2017-08-23 00:00:00-04:00,SELL,GOOGL,7189,46.958770751953125,930511.9546880722
74,2017-10-11 00:00:00-04:00,BUY,GOOGL,6619,50.10087966918945,598894.2321577072
75,2018-02-15 00:00:00-05:00,SELL,AAPL,9382,40.861995697021484,982261.4757871628
76,2018-03-05 00:00:00-05:00,BUY,AAPL,8704,41.766693115234375,618724.1789121628
77,2018-04-04 00:00:00-04:00,SELL,GOOGL,6619,51.29953384399414,958275.79342556
78,2018-04-11 00:00:00-04:00,SELL,AAPL,8704,40.73208236694336,1312807.838347435
79,2018-05-07 00:00:00-04:00,BUY,AAPL,8232,43.73666763305664,952767.5903921127
80,2018-06-04 00:00:00-04:00,BUY,GOOGL,6422,57.443763732910156,583863.7396993637
81,2018-10-09 00:00:00-04:00,SELL,GOOGL,6422,57.05168151855469,950249.6384115219
82,2018-11-06 00:00:00-05:00,SELL,MSFT,5432,101.29698944091797,1500494.8850545883
83,2018-11-08 00:00:00-05:00,BUY,MSFT,3635,105.0866928100586,1118504.7566900253
84,2018-11-12 00:00:00-05:00,SELL,MSFT,3635,100.4976806640625,1483813.8259038925
85,2018-11-15 00:00:00-05:00,SELL,AAPL,8232,45.7054328918457,1860060.9494695663
86,2019-02-06 00:00:00-05:00,BUY,GOOGL,6649,55.94171142578125,1488104.5101995468
87,2019-02-22 00:00:00-05:00,BUY,MSFT,3530,105.2515869140625,1116566.4083929062
88,2019-03-15 00:00:00-04:00,BUY,AAPL,8509,44.632869720458984,736785.3199415207
89,2019-05-30 00:00:00-04:00,SELL,GOOGL,6649,55.86797332763672,1108251.4745969772
90,2019-06-14 00:00:00-04:00,SELL,AAPL,8509,46.39839553833008,1503055.4222326279
91,2019-06-19 00:00:00-04:00,BUY,AAPL,8225,47.63333511352539,1111271.2409238815
92,2019-08-02 00:00:00-04:00,BUY,GOOGL,6628,59.599945068359375,716242.8050107956
