,Date,Action,Ticker,Quantity,Price,Cash
0,2010-05-26 00:00:00-04:00,BUY,AAPL,271,7.3542256355285645,8007.004852771759
1,2010-08-24 00:00:00-04:00,SELL,AAPL,271,7.22829532623291,9965.872886180878
2,2010-09-20 00:00:00-04:00,BUY,AAPL,233,8.532780647277832,7977.734995365143
3,2010-10-22 00:00:00-04:00,BUY,MSFT,104,19.424951553344727,5957.540033817291
4,2011-03-07 00:00:00-05:00,SELL,MSFT,104,19.923192977905273,8029.55210351944
5,2011-05-02 00:00:00-04:00,SELL,AAPL,233,10.432271003723145,10460.271247386932
6,2011-05-04 00:00:00-04:00,BUY,AAPL,198,10.531384468078613,8375.057122707367
7,2011-05-24 00:00:00-04:00,SELL,AAPL,198,10.007782936096191,10356.598144054413
8,2011-07-12 00:00:00-04:00,BUY,MSFT,100,20.69313621520996,8287.284522533417
9,2011-07-18 00:00:00-04:00,BUY,AAPL,184,11.261358261108398,6215.194602489471
10,2011-08-25 00:00:00-04:00,SELL,MSFT,100,19.27804946899414,8142.9995493888855
11,2011-09-09 00:00:00-04:00,BUY,MSFT,101,20.196044921875,6103.1990122795105
12,2011-11-25 00:00:00-05:00,SELL,MSFT,101,19.20977210998535,8043.385995388031
13,2011-11-29 00:00:00-05:00,SELL,AAPL,184,11.243280410766602,10112.149590969086
14,2011-12-23 00:00:00-05:00,BUY,AAPL,166,12.150999069213867,8095.083745479584
