,Date,Action,Ticker,Quantity,Price,Cash
0,2010-05-26 00:00:00-04:00,BUY,AAPL,271,7.354224681854248,8007.005111217499
1,2010-05-26 00:00:00-04:00,BUY,CSCO,130,15.274248123168945,6021.352855205536
2,2010-05-26 00:00:00-04:00,BUY,INTC,147,13.605377197265625,4021.362407207489
3,2010-05-26 00:00:00-04:00,BUY,NFLX,133,14.971428871154785,2030.1623673439026
4,2010-05-27 00:00:00-04:00,SELL,CSCO,130,15.794734954833984,4083.4779114723206
5,2010-06-08 00:00:00-04:00,SELL,INTC,147,13.263598442077637,6033.226882457733
6,2010-08-24 00:00:00-04:00,SELL,AAPL,271,7.228295803070068,7992.095045089722
7,2010-08-27 00:00:00-04:00,BUY,AMZN,328,6.331999778747559,5915.1991176605225
8,2010-09-20 00:00:00-04:00,BUY,AAPL,260,8.532779693603516,3696.6763973236084
9,2010-09-27 00:00:00-04:00,BUY,GOOGL,177,13.225581169128418,1355.7485303878784
10,2010-10-01 00:00:00-04:00,BUY,NVDA,5209,0.2602229118347168,0.24738264083862305
11,2011-03-14 00:00:00-04:00,SELL,GOOGL,177,14.212492942810059,2515.858633518219
12,2011-03-15 00:00:00-04:00,SELL,AMZN,328,8.253999710083008,5223.170538425446
13,2011-03-31 00:00:00-04:00,SELL,NVDA,5209,0.4232347309589386,7427.800251990557
14,2011-04-18 00:00:00-04:00,BUY,AMZN,324,8.916999816894531,4538.692311316729
15,2011-04-26 00:00:00-04:00,BUY,TSLA,1624,1.7953330278396606,1623.0714741051197
16,2011-05-02 00:00:00-04:00,SELL,AAPL,260,10.432265281677246,4335.460447341204
17,2011-05-03 00:00:00-04:00,BUY,INTC,189,15.636443138122559,1380.1726942360401
18,2011-05-04 00:00:00-04:00,BUY,AAPL,131,10.531388282775879,0.5608291923999786
19,2011-05-24 00:00:00-04:00,SELL,AAPL,131,10.007784843444824,1311.580643683672
20,2011-07-12 00:00:00-04:00,BUY,MSFT,63,20.693140029907227,7.912821799516678
21,2011-08-11 00:00:00-04:00,SELL,TSLA,1624,1.6866669654846191,2747.059973746538
22,2011-08-16 00:00:00-04:00,SELL,INTC,189,14.241629600524902,5438.727968245745
23,2011-08-18 00:00:00-04:00,SELL,NFLX,133,31.068571090698242,9570.847923308611
24,2011-08-25 00:00:00-04:00,SELL,MSFT,63,19.27804946899414,10785.365039855242
